"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "Markdown", "CSV", "Prisma", "MS SQL", "JSON", "JSON with Comments", "YAML", "comment", "blank", "total"
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createRadarGraphElements\addPolarRadiusAxis.jsx", "JavaScript JSX", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 93
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createRadarGraphElements\addRadar.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 84
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraphElements\createRadialBarGraphElements\addRadialBarGraphElement.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 70
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraph\createCartesianGraph.jsx", "JavaScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraph\createImageComponent.jsx", "JavaScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 115
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraph\createPieGraph.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 100
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraph\createRadarGraph.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 99
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraph\createRadialBarGraph.jsx", "JavaScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 116
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createGraph\createTextComponent.jsx", "JavaScript JSX", 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 321
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\createProject\createProjectButton.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\fileUploader\fileDashboardCard.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\fileUploader\fileUploaderButton.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 99
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\formElements\checkBox.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\formElements\colorInput.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\formElements\dropdownFileInput.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\formElements\dropdownInput.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\formElements\fileInput.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\formElements\numberInput.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\formElements\textInput.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\graphs\cartesianGraph.jsx", "JavaScript JSX", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 115
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\graphs\image.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\graphs\pieGraph.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\graphs\radarGraph.jsx", "JavaScript JSX", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 71
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\graphs\radialBarGraph.jsx", "JavaScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 74
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\graphs\textElement.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\heroSectionExamples\exAreaChart.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\heroSectionExamples\exBarChart.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\heroSectionExamples\exLineChart.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\heroSectionExamples\exPieChart.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\modeToogle.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 38
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\plane\plane.jsx", "JavaScript JSX", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\project\project.jsx", "JavaScript JSX", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 142
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\themeProvider.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\accordion.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\badge.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\button.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\card.jsx", "JavaScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\commonGraphWrapper.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\context-menu.jsx", "JavaScript JSX", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 157
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\contextMenuWrapper.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 32
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\dataDashboardCard.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\drawer.jsx", "JavaScript JSX", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\dropdown-menu.jsx", "JavaScript JSX", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 156
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\formWrapper.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\input.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\label.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\navbar.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 62
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\navigation-menu.jsx", "JavaScript JSX", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 105
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\popover.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\projectDashboardCard.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\separator.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\sheet.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 109
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\slider.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
